,name,store_num,address,state,zip,phone,latitude,longitude,formatted_address,accuracy
20,A & P Food Stores,16,"14 W Main St Middletown,",DE,19709,(770) 972-3771,39.44940649999999,-75.71729599999999,"14 W Main St, Middletown, DE 19709, USA",ROOFTOP
21,A & P Food Stores,17,"17656 N Highland Ave Arlington,",GA,39813,(410) 341-0741,31.4406124,-84.72508719999999,"17656 Highland Ave N, Arlington, GA 39813, USA",ROOFTOP
22,A & P Food Stores,18,"1968 W Peterson Ave Chicago,",IL,60660,(773) 743-3940,41.9909891,-87.6796899,"1968 W Peterson Ave, Chicago, IL 60660, USA",ROOFTOP
23,A & P Food Stores,19,"26016 State Road 19 Arcadia,",IN,46030,(317) 984-5040,40.1700294,-86.0132734,"26016 State Rte 19, Arcadia, IN 46030, USA",GEOMETRIC_CENTER
24,A & P Food Stores,20,"N Us 35 Winamac,",IN,46996,(574) 946-4921,41.0514628,-86.6029585,"US-35, Winamac, IN, USA",GEOMETRIC_CENTER
25,A & P Food Stores,21,"701 Royal St New Orleans,",LA,70116,(504) 523-1353,29.9581831,-90.0647868,"701 Royal St, New Orleans, LA 70116, USA",ROOFTOP
26,A & P Food Stores,22,"4801 Hollins Ferry Rd Halethorpe,",MD,21227,(410) 242-3101,39.2254396,-76.6853951,"4801 Hollins Ferry Rd, Halethorpe, MD 21227, USA",ROOFTOP
27,A & P Food Stores,23,"720 W Woodrow Wilson Ave Jackson,",MS,39213,(601) 352-7515,32.3270227,-90.20105989999999,"720 W Woodrow Wilson Ave, Jackson, MS 39213, USA",ROOFTOP
28,A & P Food Stores,24,"221 E Main St Battleboro,",NC,27809,(520) 514-9567,36.0487537,-77.7487213,"Battleboro, Rocky Mount, NC, USA",APPROXIMATE
29,A & P Food Stores,25,"1322 Linwood Rd Gastonia,",NC,28052,(704) 868-2991,35.246187,-81.2116259,"1322 Linwood Rd, Gastonia, NC 28052, USA",ROOFTOP
30,A & P Food Stores,26,"54 Lock St Nashua,",NH,03064,(603) 595-4908,42.7668904,-71.46200859999999,"54 Lock St, Nashua, NH 03064, USA",ROOFTOP
31,A & P Food Stores,27,"163 Avenue A # 169 Bayonne,",NJ,07002,(201) 823-3262,,,,
32,A & P Food Stores,28,"19 Belleville Ave Bloomfield,",NJ,07003,(973) 429-8754,40.7976587,-74.1798799,"19 Belleville Ave, Bloomfield, NJ 07003, USA",ROOFTOP
33,A & P Food Stores,29,"550 Myrtle Ave Boonton,",NJ,07005,(973) 394-9570,40.9086562,-74.39695739999999,"550 Myrtle Ave, Boonton, NJ 07005, USA",ROOFTOP
34,A & P Food Stores,30,"425 Anderson Ave Fairview,",NJ,07022,(201) 941-2800,40.8209576,-73.9920935,"425 Anderson Ave, Fairview, NJ 07022, USA",ROOFTOP
35,A & P Food Stores,31,"289 Bergen Blvd Fairview,",NJ,07022,(201) 945-5255,40.8195888,-74.00201,"289 Bergen Blvd, Fairview, NJ 07022, USA",ROOFTOP
36,A & P Food Stores,32,"59 Outwater Ln Garfield,",NJ,07026,(973) 253-0530,40.8819724,-74.11618039999999,"59 Outwater Ln, Garfield, NJ 07026, USA",ROOFTOP
37,A & P Food Stores,33,"614 Clinton St Hoboken,",NJ,07030,(201) 795-1783,40.7454203,-74.033963,"614 Clinton St, Hoboken, NJ 07030, USA",ROOFTOP
38,A & P Food Stores,34,"80 Market St Kenilworth,",NJ,07033,(908) 241-4424,40.6760462,-74.2820976,"80 Market St, Kenilworth, NJ 07033, USA",ROOFTOP
39,A & P Food Stores,35,"453 Valley St Maplewood,",NJ,07040,(973) 327-0277,40.7375993,-74.26662499999999,"453 Valley St, Maplewood, NJ 07040, USA",ROOFTOP
40,A & P Food Stores,36,"501 Valley Rd Montclair,",NJ,07043,(973) 746-3235,40.8365149,-74.2066652,"501 Valley Rd, Montclair, NJ 07043, USA",RANGE_INTERPOLATED
41,A & P Food Stores,37,"2220 91st St North Bergen,",NJ,07047,(201) 662-4700,40.8191566,-74.0182145,"2220 91st St, North Bergen, NJ 07047, USA",ROOFTOP
42,A & P Food Stores,38,"1425 Kennedy Blvd North Bergen,",NJ,07047,(201) 864-9300,40.7645326,-74.0441495,"1425 John F. Kennedy Blvd, North Bergen, NJ 07047, USA",ROOFTOP
43,A & P Food Stores,39,"375 Paterson Ave Wallington,",NJ,07057,(201) 935-7822,40.844628,-74.1063317,"375 Paterson Ave, Wallington, NJ 07057, USA",ROOFTOP
44,A & P Food Stores,40,"177 Washington Valley Rd Warren,",NJ,07059,(606) 451-1782,40.6153743,-74.496889,"177 Washington Valley Rd, Warren, NJ 07059, USA",ROOFTOP
45,A & P Food Stores,41,"52 Westfield Ave Clark,",NJ,07066,(732) 388-7334,40.618939,-74.296386,"52 Westfield Ave, Clark, NJ 07066, USA",ROOFTOP
46,A & P Food Stores,42,"907 Oak Tree Ave South Plainfield,",NJ,07080,(908) 791-1600,40.5785848,-74.3897192,"907 Oak Tree Ave, South Plainfield, NJ 07080, USA",ROOFTOP
47,A & P Food Stores,43,"789 Saint George Ave Woodbridge,",NJ,07095,(732) 855-9371,40.5660513,-74.2877577,"789 St Georges Ave, Woodbridge, NJ 07095, USA",ROOFTOP
48,A & P Food Stores,44,"125 18th St Jersey City,",NJ,07310,(201) 217-9228,40.7330779,-74.0375313,"125 18th St, Jersey City, NJ 07310, USA",ROOFTOP
49,A & P Food Stores,45,"45 De Mercurio Dr Allendale,",NJ,07401,(201) 934-9161,41.0289552,-74.1281256,"45 De Mercurio Dr, Allendale, NJ 07401, USA",ROOFTOP
50,A & P Food Stores,46,"1926 Union Valley Rd Hewitt,",NJ,07421,(973) 657-1330,41.1530301,-74.3537987,"1926 Union Valley Rd, Hewitt, NJ 07421, USA",ROOFTOP
51,A & P Food Stores,47,"1730 Us Highway 46 Little Falls,",NJ,07424,(973) 812-8300,40.888236,-74.2151812,"1730 US-46, Woodland Park, NJ 07424, USA",ROOFTOP
52,A & P Food Stores,48,"125 Franklin Tpke Mahwah,",NJ,07430,(201) 512-9332,41.0992549,-74.14473219999999,"125 Franklin Turnpike, Mahwah, NJ 07430, USA",ROOFTOP
53,A & P Food Stores,49,"136 Lake Ave Midland Park,",NJ,07432,(201) 612-3020,40.9831336,-74.14042169999999,"136 Lake Ave, Midland Park, NJ 07432, USA",ROOFTOP
54,A & P Food Stores,50,"5734 Berkshire Valley Rd Oak Ridge,",NJ,07438,(973) 208-2255,41.0369941,-74.5036052,"5734 Berkshire Valley Rd, Oak Ridge, NJ 07438, USA",ROOFTOP
55,A & P Food Stores,51,"500 State Hwy 23 Pequannock,",NJ,07440,(973) 616-7717,40.9679005,-74.28266959999999,"500 NJ-23, Pompton Plains, NJ 07444, USA",ROOFTOP
56,A & P Food Stores,52,"455 State Rt 23 Sussex,",NJ,07461,(973) 875-3256,41.2035002,-74.60184029999999,"455 NJ-23, Wantage, NJ 07461, USA",RANGE_INTERPOLATED
57,A & P Food Stores,53,"16 High Point Ter Sussex,",NJ,07461,(973) 875-5701,41.2155137,-74.55170629999999,"16 High Point Terrace, Sussex, NJ 07461, USA",ROOFTOP
58,A & P Food Stores,54,"530 State Rt 515 Vernon,",NJ,07462,(973) 764-5350,41.1944643,-74.4834879,"530 Rt 515 Unit 1, Vernon Township, NJ 07462, USA",GEOMETRIC_CENTER
59,A & P Food Stores,55,"560 Valley Rd Wayne,",NJ,07470,(973) 305-1660,40.9309062,-74.22652699999999,"560 Valley Rd, Wayne, NJ 07470, USA",ROOFTOP
60,A & P Food Stores,56,"396 Demarest Ave Closter,",NJ,07624,(201) 784-7190,40.9697174,-73.9622352,"396 Demarest Ave, Closter, NJ 07624, USA",RANGE_INTERPOLATED
61,A & P Food Stores,57,"4 Memorial Dr Lodi,",NJ,07644,(973) 249-5160,40.8755599,-74.0858733,"4 Memorial Dr, Lodi, NJ 07644, USA",ROOFTOP
62,A & P Food Stores,58,"534 Bergen Blvd Palisades Park,",NJ,07650,(201) 944-0104,40.8480068,-73.9843846,"534 Bergen Blvd, Palisades Park, NJ 07650, USA",RANGE_INTERPOLATED
63,A & P Food Stores,59,"199 Kinderkamack Rd Park Ridge,",NJ,07656,(201) 391-9610,41.03642869999999,-74.0299204,"199 Kinderkamack Rd, Park Ridge, NJ 07656, USA",ROOFTOP
64,A & P Food Stores,60,"75 Mayhill St Saddle Brook,",NJ,07663,(201) 712-9191,40.8993197,-74.09224499999999,"75 Mayhill St, Saddle Brook, NJ 07663, USA",ROOFTOP
65,A & P Food Stores,61,"216 Old Tappan Rd Westwood,",NJ,07675,(201) 664-2954,41.0137933,-73.9837871,"216 Old Tappan Rd, Westwood, NJ 07675, USA",ROOFTOP
66,A & P Food Stores,62,"315 Pascack Rd Township Of Washington,",NJ,07676,(201) 666-2185,40.9865101,-74.0627834,"315 Pascack Rd, Township of Washington, NJ 07676, USA",ROOFTOP
67,A & P Food Stores,63,"520 Chestnut Ridge Rd Woodcliff Lake,",NJ,07677,(201) 476-9800,41.0430812,-74.0709523,"520 Chestnut Ridge Rd, Woodcliff Lake, NJ 07677, USA",ROOFTOP
68,A & P Food Stores,64,"State Highway 35 And New Bed Rd Belmar,",NJ,07719,(607) 336-5815,40.1813531,-74.0280397,"NJ-35, Belmar, NJ, USA",GEOMETRIC_CENTER
69,A & P Food Stores,65,"980 Shrewsbury Ave Eatontown,",NJ,07724,(732) 935-0996,40.3158698,-74.0698366,"980 Shrewsbury Ave, Eatontown, NJ 07724, USA",RANGE_INTERPOLATED
70,A & P Food Stores,66,"2101 State Route 35 Holmdel,",NJ,07733,(732) 671-7880,40.414708,-74.1443652,"2101 NJ-35, Holmdel, NJ 07733, USA",ROOFTOP
71,A & P Food Stores,67,"507 Prospect Ave Little Silver,",NJ,07739,(732) 530-7449,40.339079,-74.0403858,"507 Prospect Ave, Little Silver, NJ 07739, USA",ROOFTOP
72,A & P Food Stores,68,"79 Stone Ln Marlboro,",NJ,07746,(732) 946-8911,40.315663,-74.2753589,"79 Stone Ln, Marlboro Township, NJ 07746, USA",RANGE_INTERPOLATED
73,A & P Food Stores,69,"325 State Route 35 Matawan,",NJ,07747,(732) 441-7400,40.43754149999999,-74.2254528,"325 NJ-35, Cliffwood, NJ 07721, USA",ROOFTOP
74,A & P Food Stores,70,"128 State Route 94 Blairstown,",NJ,07825,(908) 362-7440,40.9872863,-74.9828852,"128 NJ-94, Blairstown, NJ 07825, USA",ROOFTOP
75,A & P Food Stores,71,"152 State Route 94 Blairstown,",NJ,07825,(908) 362-9388,40.98368960000001,-74.9970369,"152 NJ-94, Blairstown, NJ 07825, USA",ROOFTOP
76,A & P Food Stores,72,"431 County Road 513 Califon,",NJ,07830,(908) 832-5081,40.7266122,-74.8453217,"431 County Rd 513, Califon, NJ 07830, USA",ROOFTOP
77,A & P Food Stores,73,"125 W Main St Denville,",NJ,07834,(973) 586-0601,40.8949232,-74.48426959999999,"125 W Main St, Denville, NJ 07834, USA",ROOFTOP
78,A & P Food Stores,74,"293 Us Highway 206 Flanders,",NJ,07836,(973) 252-9360,40.8320854,-74.7074441,"293 US-206 #8, Flanders, NJ 07836, USA",ROOFTOP
79,A & P Food Stores,75,"148 Center Grove Rd Randolph,",NJ,07869,(973) 442-7950,40.8639488,-74.5698075,"148 Center Grove Rd, Randolph, NJ 07869, USA",ROOFTOP
80,A & P Food Stores,76,"580 N Main St Barnegat,",NJ,08005,(609) 660-2163,39.7687356,-74.21160309999999,"580 N Main St, Barnegat, NJ 08005, USA",ROOFTOP
81,A & P Food Stores,77,"56 Chambersbridge Rd Brick,",NJ,08723,(732) 920-6999,40.0585761,-74.1403622,"56 Chambersbridge Rd, Brick Township, NJ 08723, USA",ROOFTOP
82,A & P Food Stores,78,"State Hwy No 35 State Hwy Seaside Heights,",NJ,08751,(732) 223-1930,39.9489797,-74.07346969999999,"NJ-35, New Jersey, USA",GEOMETRIC_CENTER
83,A & P Food Stores,79,"State Hwy No 28 Bound Brook,",NJ,08805,(732) 223-1930,40.5672247,-74.5386808,"NJ-28, New Jersey, USA",GEOMETRIC_CENTER
84,A & P Food Stores,80,"49 Route 22 Clinton,",NJ,08809,(908) 735-5833,40.60743069999999,-74.4678465,"49 US-22, Green Brook Township, NJ 08812, USA",ROOFTOP
85,A & P Food Stores,81,"647 State Route 18 East Brunswick,",NJ,08816,(732) 651-8611,40.4319364,-74.3911852,"647 NJ-18, East Brunswick, NJ 08816, USA",ROOFTOP
86,A & P Food Stores,82,"431 County Hwy 513 Flemington,",NJ,08822,(908) 832-5081,40.5123258,-74.85933179999999,"Flemington, NJ 08822, USA",APPROXIMATE
87,A & P Food Stores,83,"1185 Amboy Ave Edison,",NJ,08837,(732) 906-1446,40.5365162,-74.346977,"1185 Amboy Ave, Edison, NJ 08837, USA",ROOFTOP
88,A & P Food Stores,84,"45 Pearl St Metuchen,",NJ,08840,(732) 549-2973,40.5414864,-74.3633751,"45 Pearl St, Metuchen, NJ 08840, USA",ROOFTOP
89,A & P Food Stores,85,"510 Milltown Rd North Brunswick,",NJ,08902,(732) 249-1707,40.4646458,-74.4510056,"510 Milltown Rd, North Brunswick Township, NJ 08902, USA",ROOFTOP
90,A & P Food Stores,86,"42 W 39th St New York,",NY,10018,(219) 641-6400,40.7522844,-73.98432199999999,"42 W 39th St, New York, NY 10018, USA",ROOFTOP
91,A & P Food Stores,87,"6400 Amboy Rd Staten Island,",NY,10309,(718) 966-8393,40.5221133,-74.21528959999999,"6400 Amboy Rd, Staten Island, NY 10309, USA",ROOFTOP
92,A & P Food Stores,88,"1511 Route 22 Brewster,",NY,10509,(845) 278-5282,41.4196815,-73.5778524,"1511 NY-22, Brewster, NY 10509, USA",ROOFTOP
93,A & P Food Stores,89,"Stoneleigh Ave Carmel,",NY,10512,(845) 225-5424,41.4036036,-73.66316979999999,"Stoneleigh Ave, Carmel Hamlet, NY 10512, USA",GEOMETRIC_CENTER
94,A & P Food Stores,90,"1905 Route 6 Carmel,",NY,10512,(845) 225-6649,41.4130236,-73.66916479999999,"1905 US-6, Carmel Hamlet, NY 10512, USA",ROOFTOP
95,A & P Food Stores,91,"2005 Albany Post Rd Croton On Hudson,",NY,10520,(914) 271-3497,41.228372,-73.9077825,"2005 Albany Post Rd, Croton-On-Hudson, NY 10520, USA",ROOFTOP
96,A & P Food Stores,92,"100 Route 22 Goldens Bridge,",NY,10526,(914) 232-9137,41.2932958,-73.6759706,"100 NY-22, Goldens Bridge, NY 10526, USA",ROOFTOP
97,A & P Food Stores,93,"123 Bedford Rd Katonah,",NY,10536,(914) 232-9712,41.2519589,-73.6837034,"123 Bedford Rd, Katonah, NY 10536, USA",RANGE_INTERPOLATED
98,A & P Food Stores,94,"805 Mamaroneck Ave Mamaroneck,",NY,10543,(914) 381-2870,40.9566943,-73.736845,"805 Mamaroneck Ave, Mamaroneck, NY 10543, USA",ROOFTOP
99,A & P Food Stores,95,"3131 E Main St Mohegan Lake,",NY,10547,(914) 526-0124,41.3097571,-73.8685193,"3131 E Main St, Mohegan Lake, NY 10547, USA",ROOFTOP
100,A & P Food Stores,96,"24 W Grand St Mount Vernon,",NY,10552,(914) 664-9398,40.92505939999999,-73.8375873,"24 W Grand St, Mt Vernon, NY 10552, USA",ROOFTOP
101,A & P Food Stores,97,"103 Knollwood Rd White Plains,",NY,10607,(914) 682-8639,41.0387184,-73.8067109,"103 Knollwood Rd, White Plains, NY 10607, USA",ROOFTOP
102,A & P Food Stores,98,"369 Tarrytown Rd White Plains,",NY,10607,(914) 684-8745,41.0418448,-73.7965926,"369 Tarrytown Rd, White Plains, NY 10607, USA",ROOFTOP
103,A & P Food Stores,99,"1214 Cedar St Tuckahoe,",NY,10707,(914) 961-9552,40.9522537,-73.8271544,"Cedar St, Tuckahoe, NY 10707, USA",GEOMETRIC_CENTER
104,A & P Food Stores,100,"12 Cedar St Bronxville,",NY,10708,(914) 779-0276,40.938992,-73.8339115,"12 Cedar St, Bronxville, NY 10708, USA",ROOFTOP
105,A & P Food Stores,101,"38 Ramapo Rd Garnerville,",NY,10923,(845) 429-1040,41.200886,-74.000616,"38 Ramapo Rd, Garnerville, NY 10923, USA",RANGE_INTERPOLATED
106,A & P Food Stores,102,"280 S Main St New City,",NY,10956,(845) 634-1633,41.1377089,-73.98970609999999,"280 S Main St, New City, NY 10956, USA",ROOFTOP
107,A & P Food Stores,103,"2820 Jerusalem Ave Bellmore,",NY,11710,(516) 785-0102,40.6919077,-73.5274409,"2820 Jerusalem Ave, North Bellmore, NY 11710, USA",ROOFTOP
108,A & P Food Stores,104,"722 Walt Whitman Rd Melville,",NY,11747,(631) 421-2245,40.8039698,-73.4111662,"722 Walt Whitman Rd, Melville, NY 11747, USA",ROOFTOP
109,A & P Food Stores,105,"1227 Route 52 Fishkill,",NY,12524,(845) 896-0933,41.5431246,-73.87859259999999,"1227 NY-52, Fishkill, NY 12524, USA",RANGE_INTERPOLATED
110,A & P Food Stores,106,"829 Route 82 Hopewell Junction,",NY,12533,(845) 227-0582,41.5807061,-73.8121786,"829 NY-82, Hopewell Junction, NY 12533, USA",ROOFTOP
111,A & P Food Stores,107,"3101 Route 22 Patterson,",NY,12563,(845) 878-1071,41.5169024,-73.5919397,"3101 NY-22, Patterson, NY 12563, USA",ROOFTOP
112,A & P Food Stores,108,"W Tioga Tunkhannock,",PA,18657,(570) 836-9695,41.540682,-75.955187,"W Tioga St, Tunkhannock, PA 18657, USA",GEOMETRIC_CENTER
113,A & P Food Stores,109,"1315 Seydler St Gonzales,",TX,78629,(830) 672-6422,29.5157005,-97.4383232,"1315 Seydler St, Gonzales, TX 78629, USA",ROOFTOP
114,A G Ferrari Foods,1,"1050 El Camino Real Belmont,",CA,94002,(650) 632-1655,37.51974999999999,-122.275535,"1050 El Camino Real, Belmont, CA 94002, USA",ROOFTOP
115,A G Ferrari Foods,2,"468 Castro St San Francisco,",CA,94114,(415) 255-6590,37.7614188,-122.435331,"468 Castro St, San Francisco, CA 94114, USA",ROOFTOP
116,A G Ferrari Foods,3,"200 Hamilton Ave Palo Alto,",CA,94301,(650) 752-0900,37.443922,-122.161247,"200 Hamilton Ave, Palo Alto, CA 94301, USA",ROOFTOP
117,A G Ferrari Foods,4,"2905 College Ave Berkeley,",CA,94705,(510) 849-2701,37.8581775,-122.2529371,"2905 College Ave, Berkeley, CA 94705, USA",ROOFTOP
118,Acme Markets,1,"200 Lantana Dr Hockessin,",DE,19707,(770) 932-4306,39.7745815,-75.711259,"200 Lantana Dr, Hockessin, DE 19707, USA",RANGE_INTERPOLATED
119,Acme Markets,2,"460 E Main St Middletown,",DE,19709,(773) 506-2800,39.4484377,-75.6977589,"460 E Main St, Middletown, DE 19709, USA",ROOFTOP
120,Acme Markets,3,"Creek Plz Pk Wilmington,",DE,19801,(800) 925-6278,39.7312603,-75.5451379,"Wilmington, DE 19801, USA",APPROXIMATE
121,Acme Markets,4,"Concord Pike Wilmington,",DE,19803,(781) 221-0144,39.8013678,-75.54801719999999,"Concord Pike, Talleyville, DE 19803, USA",GEOMETRIC_CENTER
122,Acme Markets,5,"1901 Concord Pike Wilmington,",DE,19803,(781) 237-9680,39.7877886,-75.545047,"1901 Concord Pike, Wilmington, DE 19803, USA",ROOFTOP
123,Acme Markets,6,"1401 N Dupont St Wilmington,",DE,19806,(781) 221-0144,39.7572081,-75.5637885,"1401 N Dupont St, Wilmington, DE 19806, USA",ROOFTOP
124,Acme Markets,7,"1308 Centerville Rd Wilmington,",DE,19808,(800) 607-6861,39.7340656,-75.6235365,"1308 Centerville Rd, Wilmington, DE 19808, USA",ROOFTOP
125,Acme Markets,8,"4720 Limestone Rd Wilmington,",DE,19808,(618) 875-5370,39.7400068,-75.6938026,"4720 Limestone Rd, Wilmington, DE 19808, USA",ROOFTOP
126,Acme Markets,9,"2084 Naamans Rd Wilmington,",DE,19810,(775) 586-1088,39.8237054,-75.5004354,"2084 Naamans Rd, Wilmington, DE 19810, USA",ROOFTOP
127,Acme Markets,10,"1103 S Central Ave Laurel,",DE,19956,(800) 492-4173,38.5485948,-75.5679706,"1103 S Central Ave, Laurel, DE 19956, USA",ROOFTOP
128,Acme Markets,11,"2315 Bel Air Rd Fallston,",MD,21047,(410) 877-3392,39.4924084,-76.3928413,"2315 Belair Rd, Fallston, MD 21047, USA",ROOFTOP
129,Acme Markets,12,"114 Talbot St Easton,",MD,21601,(410) 745-9819,38.7712439,-76.07336699999999,"114 Talbot St, Easton, MD 21601, USA",RANGE_INTERPOLATED
130,Acme Markets,13,"210 Marlboro Ave Easton,",MD,21601,(410) 822-7073,38.7799747,-76.0817606,"210 Marlboro Ave, Easton, MD 21601, USA",ROOFTOP
131,Acme Markets,14,"611 Railroad Ave Centreville,",MD,21617,(443) 262-9150,39.0399126,-76.05601759999999,"611 Railroad Ave, Centreville, MD 21617, USA",ROOFTOP
132,Acme Markets,15,"Kent Island Shopping Ctr Chestertown,",MD,21620,(410) 643-3173,38.97570109999999,-76.29608309999999,"1231 Shopping Center Rd, Stevensville, MD 21666, USA",ROOFTOP
133,Acme Markets,16,"711 Washington Ave Chestertown,",MD,21620,(410) 778-0563,39.2248741,-76.06892409999999,"711 Washington Ave, Chestertown, MD 21620, USA",GEOMETRIC_CENTER
134,Acme Markets,17,"114 Talbot Snt Claiborne,",MD,21624,(410) 745-9819,38.8376161,-76.2777285,"Claiborne, MD 21624, USA",APPROXIMATE
135,Acme Markets,18,"101 Big Elk Mall Elkton,",MD,21921,(410) 620-0602,39.5986223,-75.8198347,"101 Big Elk Mall, Elkton, MD 21921, USA",ROOFTOP
136,Acme Markets,19,"467 Allwood Rd Clifton,",NJ,07012,(973) 594-0590,40.8409885,-74.15803509999999,"467 Allwood Rd, Clifton, NJ 07012, USA",ROOFTOP
137,Acme Markets,20,"1319 Magie Ave Union,",NJ,07083,(908) 351-4029,40.67118980000001,-74.2531006,"1319 Magie Ave, Union, NJ 07083, USA",ROOFTOP
138,Acme Markets,21,"2 Garfield Ave Jersey City,",NJ,07305,(201) 432-7011,40.6854008,-74.09913039999999,"2 Garfield Ave, Jersey City, NJ 07305, USA",ROOFTOP
139,Acme Markets,22,"216 Garfield Ave Jersey City,",NJ,07305,(201) 432-7011,40.691482,-74.09205399999999,"216 Garfield Ave, Jersey City, NJ 07305, USA",ROOFTOP
140,Acme Markets,23,"Shrewsbury Plz Red Bank,",NJ,07701,(732) 542-4130,40.3146917,-74.06576199999999,"Shrewsbury Plaza, Shrewsbury, NJ 07702, USA",GEOMETRIC_CENTER
141,Acme Markets,24,"576 River Rd Fair Haven,",NJ,07704,(732) 530-7481,40.3606849,-74.0421465,"576 River Rd, Fair Haven, NJ 07704, USA",ROOFTOP
142,Acme Markets,25,"3241 Us Highway 9 Freehold,",NJ,07728,(732) 863-6501,40.219372,-74.2635993,"3241 U.S. 9, Freehold, NJ 07728, USA",ROOFTOP
143,Acme Markets,26,"616 Newman Springs Rd Lincroft,",NJ,07738,(732) 936-0668,40.3321004,-74.1192097,"616 Newman Springs Rd, Lincroft, NJ 07738, USA",ROOFTOP
144,Acme Markets,27,"PO Box 3010 Rumson,",NJ,07760,(843) 396-4234,40.372054,-73.99902689999999,"Rumson, NJ 07760, USA",APPROXIMATE
145,Acme Markets,28,"Us Highway 80 And Mount Hope Ave Dover,",NJ,07801,(856) 742-8700,40.8962458,-74.5515743,"Mt Hope Ave, Dover, NJ, USA",GEOMETRIC_CENTER
146,Acme Markets,29,"343 Mount Hope Ave Dover,",NJ,07801,(973) 989-8503,40.90388069999999,-74.5493564,"343 Mt Hope Ave, Dover, NJ 07801, USA",ROOFTOP
147,Acme Markets,30,"PO Box 3010 Denville,",NJ,07834,(843) 396-4234,40.8889758,-74.4818698,"Denville, NJ 07834, USA",APPROXIMATE
148,Acme Markets,31,"W Nelson St Newton,",NJ,07860,(973) 383-3211,41.0488547,-74.7570807,"W Nelson St, Newton, NJ 07860, USA",GEOMETRIC_CENTER
